id,Ref_produit,Marque,Description
65,6LA60601000,Toshiba,Cover Df Conect
66,W126549005,Samsung,SVC COVER 
67,W126536855,Samsung,"COVER PANEL,AR9500T, QMD "
68,SM-X810NZEEEUB,Samsung,Samsung Galaxy Tab S9+ WiFi (512GB) 12GB beige
69,397314001,Sony,"GEAR, SUB CAM"
70,05051511001,Wera,Wera Kraftform compact 27 kit 2
71,W126863794,Samsung,"ASSY PCB MAINTD09-PJT,BLDC "
72,P1080383-420,Zebra,"Kit, Upgrade"
73,W126064003,Brady,Tamper-indicating Thermal 
74,Q7834-67902,HP,Tray Assembly 1X500 Sheet
75,01HV599,lenovo,4Y PARTS DEL NBD X3950 X6
76,4400786300,Toshiba,K Roller Exit
77,W126936264,Lenovo,BDPLANAR 
78,W125855077,Sony,S-STATIONARY BARREL
79,L28408-031,HP,Keyboard Cp (UK)
80,W126321337,Ergonomic Solutions,SpacePole Stack with 
81,ATE-VP2730-AT-G,Aten,Aten 7 x 3 Seamless Presentation MatrixSwitch with Scaler  Streaming  Audio Mixer  HDBaseT and IR / RS-232 / Ethernet (WebGUI) Control
82,W126234755,Canon,REAR ROD UNIT
83,W125951058,Lenovo,Upper C82LM PL_SILD NFP 
84,CON-PSJ6-UCSPMINI   ,CISCO               ,UCS PSS 8X5X4 OS UCS SP SELECT 
85,40X0845,Lexmark,FIN LEFT UPPER       COVER
86,657531-001,HP,SP_SPEAKER BEATS
87,190551,Erard Pro,Colonne OMNIUM à Sceller OM55N
88,MST-W06-01510,Microsoft,Microsoft Core CAL All Languages License & Software Assurance Open Value Level D 1 Year Acquired Year 1 Platform User CAL
89,6745U,Dell,CRD NTWK PCI INTEL PRO-100S
90,MUF-128BE3/EU,Samsung,BAR Plus MUF-128BE3
91,RM2-7165,HPinc,POWER SUPPLY PCB ASSY                   
92,W127148234,Lenovo,BDPLANAR 
93,H8HU9E,HEWLETT PACKARD ENTERPRISE,"HPE Foundation Care Software Support 24x7 - Support technique - pour Aruba AirWave - licence - 1 périphérique - académique, K-12 Schools - ESD - pour les particuliers - support téléphonique - 3 années - 24x7 - temps de réponse : 2 h"
94,W5567,Dell,ASSY CBL NTRSN SWT C4130
95,MP52,yealink,Android 9 desk phone for 
96,184272011,Sony,"CONNECTOR, BOARD TO BOARD 16P"
97,W125690480,Lenovo,UpperCase ASM 81QA BLKB_THAI
98,662365-001,Hewlett Packard Enterprise,EXT PCI CARD RET NVIDIA Q4000
99,1667864,Epson,Ma Board Assy H719
100,JC63-03654B,HPinc,"COVER-FRONT TOP HIPS,60.2,478.4,SPLIT BR"
101,U50046451,Sony,ADHESIVE WR HOLDER SPEAKER
102,JH420-61001,Hewlett Packard Enterprise,"SP, X150 100G QSFP28 PSM4 500M"
103,924975-001,HP,Heatsink
104,W125892910,HP,PL COSLIGHT506373 3.946Ah
105,A1194652A,Sony,B2 MOUNT KIT
106,W125990917,CoreParts,"Battery for GPS, Navigator"
107,MX7NO,Dell,Keyboard (GERMAN)
108,27GS60QC-B.AEUQ,LG,Dis 27 LG 27GS60QC-B Consumer Ultragear 
109,65324340AF01A00,ADOBE,TLPG/Acrobat Standard/2020/French/Windows/AOO License/1 User
110,FC5-0996,CANON,"FLAG, 2ND DELIVERY SENSOR"
111,W126888088,CoreParts,Macbook Pro Retina 13'' 
112,PRIET0482,Prindo,ORIGINAL Prindo Cartouche d'encre Cyan PRIET0482 T0482 13ml
113,W125695003,Lenovo,DUMMY ODD 15T GRAY L80SR
114,4701,Imperia,"Imperia PASTAPRESTO T.2/6,5 mm 230V CREMA"
115,2P-IN3V4GNZJIX,2-Power,4GB DDR3 1333MHz SoDIMM
116,779483-002,HP,Rtf Hp Z Turbo Drive En
117,FELLACC5306114,FELLOWES,Fellowes pochette de plastification  80MIC A4 GLOSS 100PK 5306114
118,D00MZT002,Brother,D00MZT002 MAIN PCB:B57T173 UNIT MI2730NW
119,W126250301,Canon,"FPC ASSEMBLY, REAR"
120,FC0-2521-000,Canon,"FC0-2521-000 HOOK, RIGHT LOWER DOOR"
121,6LA64219000,Toshiba,Brkt Cover R R 360
122,W126944108,Lenovo,MECH_ASM GRP KBD 
123,W125891156,HP,CAMERA SWITCH COPPER
124,9657030607,Konica Minolta,Tapping Screw
125,W126539907,Samsung,ASSY TUBE 
126,6LJ07442000,Toshiba,Asys Case Waste Tn
127,L36852-H2816-N112,GIGASET SIEMENS,"Gigaset AS690 TRIO téléphone DECT blanc - base + 3 combinés Gigaset AS690 Trio - Téléphone sans fil avec ID d'appelant - ECO DECT\GAP - blanc + 3 combinés supplémentaires
 
 
Avantages!
- Ecran graphique noir et blanc éclairé avec contraste élevé
- Mains libres dans la meilleure qualité acoustique
- Long temps de conversation et de veille
- Répertoire téléphonique pour jusqu'à 100 noms et numéros de téléphone
- Clavier ergonomique en matériau de haute qualité
- Protection d'appel pour un maximum de 32 numéros
"
128,W126873117,Samsung,SVC-LAMP BAR LED 
129,642766-001,HPinc,SPS-THERMAL MODULE UMA                  
130,45003007760800,Le Creuset,Le Creuset Chefs Apron 88cm Denim Dark Blue (45003007760800)
131,UCS-HY800G123X-EP=,CISCO,"Cisco - SSD - Enterprise Performance - 800 Go - échangeable à chaud - 3.5"" - SAS 12Gb/s - pour UCS C240 M5, SmartPlay Select C220 M5, SmartPlay Select C220 M5SX"
132,P-P86540312,hp inc.,HP Poly 3yr+ G7500 4k Base Unit and TC8 G7500 4k Video Codec and Wireless Presentation Sys Touch Control BT remote
133,84438,C2G,USBC TO AUX AND USBC FOR AUDIO AND POWER
134,WGT-WGT35173,WatchGuard Technologies,WatchGuard APT Blocker 3-yr for T35
135,U6UF6PE,HEWLETT PACKARD ENTERPRISE,HPE Foundation Care Call-To-Repair Service with Defective Media Retention Post Warranty - Contrat de maintenance prolongé - pièces et main d'oeuvre - 1 année - sur site - 24x7 - délai de réparation : 6 heures
136,03R0302,Lenovo,HDD TRAY ASSEMBLY
137,RP000369574,HP,Paper Pickup Asm
138,W126818190,HP,SPS-HX CUSHIONS CLOUD HXS-HSEP
139,W127079048,HP,CIRCUIT BREAKER 2 POLE 1A 
140,064-0499-001,Hewlett Packard Enterprise,"1TB 3.5"" 7.2K SATA MUSKIE+"
141,6YKT1,dell,"Keyboard, English - UK, 102 "
142,FF3-4303,CANON,"CABLE, PATH SENSOR"
143,FRU64Y2679,Lenovo,Motherboard
144,764125-001-RFB,Hewlett Packard Enterprise,SPS-ACCELERATOR I O 1.3TB
145,FRU49Y4822,Lenovo,Retention
146,W128179397,Lenovo,COVER UpperCaseASM_ENG C21JG 
147,W127070453,HP,CABLE LCD OLED
148,A2218996A,Sony,CASE FRONT_SVX
149,40H5250-RFB,IBM,System Board 2144
150,618506-205,HP,IC  uP Athlon-II X3 450 3.2GHz
151,RG5-7603-080CN,hewlett packard enterprise,HEWLETT-PACKARD FUSING ASSEMBLY
152,W127069646,HP,TOP COVER W KB JTB SP
153,3PP4043-2493P001,OKIDATA,CARTR. UPPER COVER [393]
154,DT.VXVEF.005,ACER,"Acer Veriton N4 VN4710GT - Mini PC - Core i7 13700T / jusqu'à 4.9 GHz - RAM 8 Go - SSD 512 Go - UHD Graphics 770 - Gigabit Ethernet, IEEE 802.11ax (Wi-Fi 6E) - Bluetooth, 802.11a/b/g/n/ac/ax (Wi-Fi 6E) - Win 11 Pro - moniteur : aucun"
155,dmh4ph24,HONEYWELL,"Honeywell print head, 24 dots/mm (600dpi) Print head, 24 dots/mm (600dpi), fits for: H-Class"
156,W126547595,Samsung,WINDOW 
157,Z1AV_188_FR_CTO,APPLE,CTO/MBP14 M3Pro Space Black/Puce M3 Max CPU14_GPU30_NE16 + 96 Go memory/SSD_1TB/KB_IT/Logic_Pro
158,M21677-A41,hp inc.,HPI Top Cover w/Keyboard BL Bel
159,756636-B21-RFB,Hewlett Packard Enterprise,240GB SATA 2.5 VE SC SSD HDD
160,KJN6F,Dell,SVC PLN MT DTP VGA-MB 3046 V2
161,442583101,Sony,"Label (Ce4248), Combined"
162,CON-PSRT-LASAU5K    ,CISCO               ,PRTNR SS 8X5XNBD ASA-UC-500    
163,732251-001,HPinc,SPS-PEN TETHER BULK 10 PCS              
164,H9ZJ9E,HEWLETT PACKARD ENTERPRISE,"HPE Foundation Care Next Business Day Exchange Service - Contrat de maintenance prolongé - remplacement - 1 année - expédition - 9x5 - temps de réponse : NBD - volume, Tier 2 - pour HPE Aruba AP-367, AP-367 (EG), AP-367 (RW), AP-367 (US)"
165,W125689658,Lenovo,MB C 81J7 NOK I38145U UMA 8G
166,WK5P4,Dell,Keyboard  Biling.
167,SM-L310NZSAXEF,SAMSUNG,"Samsung Galaxy Watch7 - 44 mm - montre intelligente avec bande sport - caoutchouc - taille du bracelet : M/L - affichage 1.47"" - 32 Go - NFC, Wi-Fi, Bluetooth - 33.8 g - argent"
168,6LH39298000,Toshiba,Asys Tnrmtr 380S
169,W126678541,HP,SPS-MB UMA R7 PRO 5850U 845 
170,3430110,citizen,"Citizen, ruban transfert thermique, cire/résine, 110 mm, 4 rouleau/boîte"
171,195845811,Sony,"Harness, Sub (Se-401)"
172,D6K3X,Dell,ASSY SPKR 2W 18X8MM N7110
173,FRD-FD-C-MES2C-08,Fractal Design,CAS Meshify 2 Compact RGB White TG Clear
174,VEE-VADVV0ISU3YPU8,Veeam,Upgrade from Veeam ONE Universal Subscription to Veeam Data Platform Advanced Universal Subscription License. 10 instance pack. 3 Years Subscription Upfront Bil
175,680434801,Sony,Ic Cxa8044Aq
176,202258211,Sony,"COVER, REAR (29)"
177,W125631003,Lenovo,chassis MB rubber mat
178,LX5824001,Brother,FRONT COVER ASS DCP7057/7057E
179,8X222AA             ,hp - poly           ,POLY BW 3325 -M USB-C HS       
180,Z1A9_309_FR_CTO,APPLE,CTO/MBP14 M3 Silver/Puce Apple M3 CPU8_GPU10_NE16/24Go/SSD 1 To/Clavier Portugais/Power_96W/No_Software
181,HIK-311315173,Hikvision,IPC DS-2CD2346G2-ISU/SL(4mm)(C) Easy IP4.0-2nd AcuSense 4MP Turret Fixed Lens
182,01ET950,Lenovo,5YR Parts Delivered NBD
183,692759-DH1,HP,Keyboard (NORDIC)
184,644330-001,HP,Rear Panel Lift Z620
185,CON-PSUP-N9KC931G   ,CISCO               ,PRTNR SUP 24X7X4 NEXUS 9300    
186,77-91320            ,OTTERBOX            ,OTTER REACT SAMSUNG GALAXY S23 
187,W126346918,Brodit,Passive holder with tilt 
188,MA2-7509,CANON,"PLATE, GROUNDING"
189,66222140,KYOCERA,"BUSHING,BYPASS CAM"
190,P44112-421,HEWLETT PACKARD ENTERPRISE,ProLiant DL20 Gen10 Plus Rack Server (1U) - Xeon E-2314 / 2.80GHz - 8GB RAM - 2 LFF - 290W PSU - Rack Mountable
191,90MP02E6-BKFA00,asus,ASUS ROG Strix Flare II Animate
192,DS720+/6GSY/3Y/32T-IWPRO/ASSEMBLE,synology,Reseaux/Boitier NAS avec Disque/
193,76N-01769,MICROSOFT,"Microsoft Office SharePoint Server Enterprise CAL - Assurance logiciel - 1 licence d'accès client périphérique - Open Value - produit supplémentaire, 1 année acquise la 2ème année - Win - anglais"
194,W125792500,Lenovo,Upper C81YM PL BLU NFP BLKB 
195,4407978720,Toshiba,K Spl Ers 2
196,W127149803,Lenovo,MECH_ASM GRP KBD 
197,W126272642,Lenovo,"CS21 Common Camera type D2, "
198,W128163552,CoreParts,Samsung Galaxy Tab S6 Lite 
199,LVR261875UK,lanview,"UK Rack mount power strip, "
200,W126217078,Canon,"CLAMP, CABLE"
201,SWI.08P.QSW-804-4C,Qnap,Switch 10GbE  Qnap QSW-804-4C - 4x 10GbE SFP+/RJ45 + 4x SFP+ 10 GbE - Non manageable - Garantie 2 ans
202,B2234226,Ricoh,Roller Belt
203,5MMX742SD002,KYOCERA,PLATE EARTH        /F1Z0205XA3        A3
204,U3JS9E,hewlett packard enterprise,EPACK 4YR CTR 2810 - 48G FC SV
205,05K4302-RFB,IBM,System Board (100 Mhz)
206,FRU04W0306,Lenovo,CPU I5-580
207,6LJ55159000,Toshiba,Bush Drum Drive Tb
208,W125795114,Lenovo,L MB Q470 Mimosa-Q GA 35W
209,4400795530,Toshiba,Pwa Bin
210,DA2-1976,CANON,BOUTON
211,SWL-02SSC7363,SonicWall,CONTENT FILTERING SERVICE FOR NSa 3700 SERIES 3YR
212,W126867868,Samsung,ASSY PCB 
213,39H6249-RFB,IBM,ThinkPad 760E Base Cover
214,W125952571,Lenovo,Mercury1.0 INTEL FRU MECH_ASM 
215,MTC10F1084S1RC48BA1T,Micron,"Micron - DDR5 - module - 16 GB - DIMM 288-pin - 4800 MHz / PC5-38400 The DDR5 memory is bringing in a huge increase in performance for every server or workstation using this advanced technology. The clock speed starts with a 50% increase over the last generation of DDR4 memory and already shows additional speed bumps above that to 6400 MT/s. The underlying architecture has been enhanced as well to give additional boosts to the overall system performance. Of course, every application will respond differently to these changes, but for any application using high CPU core counts and is already bandwidth limited by the memory in a DDR4 system, the performance improvement should be shocking."
216,Z1G6_142_FR_CTO,APPLE,"CTO/MacBook Air 13 M3 Silver/Puce Apple M3 CPU 8 coeurs, GPU 10 coeurs et Neural Engine 16 coeurs/24 Go  mémoire unifiée/SSD 2 To/Clavier Anglais britannique/USB C 35W double/FinalCut_Pro"
217,LX1529002,Brother,CONTROL PANEL ASSY DCP197C FOR
218,CEBAJE-DA-GF        ,STG                 ,TRELLIX COMPLETE EP BUS UPGD   
219,MG1-4585,CANON,"CABLE ASSEMBLY, FLAPPER"
220,6LJ81236100,Toshiba,Pwa H Main 242
221,FK3-2614,CANON,"CABLE, FLAT, SCNT-OP"
222,726103-A41,HP,Keyboard (Belgium)
223,10081113,Toshiba,Printed Circuit Board Holder
224,A1731804A,Sony,Keyboard (ENGLISH)
225,W126941275,Lenovo,MECH_ASM KB C ILD(TSG)PT FP 
226,10017037,Toshiba,Flexible Cable
227,CB532-67953,HP,Assembly Stapler
228,24580441,SCHROFF,Ratiopac PRO STYLE 4U 84F 295P
229,U3HUB448,i-tec,I-TEC USB 3.0 Metal Charging HUB 4 Port with power adaptor 4xUSB charging port. For Tablets Notebooks Ultrabooks PC
230,MTFDKCC3T8TFR-1BC1ZA,MICRON TECHNOLOGY   ,7450 PRO 3840GB NVME U.3 (15MM)
231,5NPPY,Dell,ASSY KYBD 101 ARA W/FR BLT
232,Z1BD_69_FR_CTO,APPLE,"CTO/MacBook Air 13 M3 Midnight/Puce Apple M3 CPU 8 coeurs, GPU 10 coeurs et Neural Engine 16 coeurs/16 Go  mémoire unifiée/SSD 512 Go/Clavier Anglais américain/USB C 35W double/No_Software"
233,H3YE2E,hewlett packard enterprise,EPACK 4YR PC NBD EXCH IAP 224
234,5CB0S16455,Lenovo,Upper Case w/KB (US)
235,W125638397,Lenovo,Systemboard 
236,7WW8R,Dell,ASSY SPKR 0.5W E6440
237,880989-001,Hewlett Packard Enterprise,SPS-BRKT CABLE RETENTION HDD
238,U85X4E,HP,"Electronic HP Care Pack Premium+ Onsite Support with Telemetry, Defective Media Retention and Travel Coverage - Contrat de maintenance prolongé - pièces et main d'oeuvre - 3 années - sur site - 9x5 - temps de réponse : NBD - pour Elite x360, EliteBook 830"
239,178763811,Sony,D.C. Fan (52 Square)
240,NB.VDL11.003,Acer,MAIN BD.W/CPU.
241,4594221401,Konica Minolta,Pin
242,W128152504,Lenovo,NB_KYB CS23 NM 
243,MSPP74419,CoreParts,Apple Macbook Pro 15.4 Retina
244,CON-PSOE-WSC385SE   ,CISCO               ,PRTNR SUP OS 8X5X4 CISCO       
245,W127118463,Dell,DELL EMC POWEREDGE R730XD 
246,FC0-4252,CANON,"COVER, RIGHT"
247,924297-001-RFB,HP,Panel Kit LCD 14 FHD
248,W128163463,CoreParts,Samsung Galaxy Tab S6 Lite 
249,FY316,Dell,ASSY CVR HNG PLSTC 1526
250,RC3-3001-000CN,HP,Cover Right Lower
251,I7100-ANTI-S-BRUSH,Brady,Antistatic Brush
252,935306-001,HP,Backplate Guide Duck
253,02M2N,Dell,SVC PRC HSW I5-4200M 2.5 37W
254,57.ASY0N.002,Acer,CAMERA.1.0MP
255,HR8E2E,HEWLETT PACKARD ENTERPRISE,"HPE Foundation Care Exchange Service - Contrat de maintenance prolongé - remplacement - 5 années - expédition - 24x7 - temps de réponse : 4 h - pour P/N: JL741A, R0X27A"
256,FM2-1708,HPinc,OPTION SENSOR ASS`Y                     
257,310040802,Sony,"COVER, TOP"
258,36693,Lindy,Lindy USB cable Anthra Line - USB to USB - 2 m
259,627559,KENSINGTON,"Kensington - Filtre anti-reflet pour écran - amovible - 24"" - transparent"
260,45745M,Moxa,"ioLOGIK ETHERNET I/O SERVER, 2"
261,65315589BC02A12     ,ADOBE               ,ADOBE SIGN FOR ENTERPRISE ALL  
262,GV-N407TSAERO OC-16GD,Gigabyte,GIGA VGA 16GB RTX4070 Ti SUPER AERO OC 16G 3xDP/HDMI GeForce RTX 4070 Ti SUPER AERO OC 16G
263,422970401,Sony,"Plate (L), Side"
264,TKRWM,Dell,KIT BRKT WALL-CEIL CRDL MNT AP
265,29WP500-B.AEU,LG,LG 29WP500-B
266,Z19E_247_FR_CTO,APPLE,CTO/iMac 24 pouces Silver/Puce Apple M3 CPU8_GPU10_NE16/16Go/SSD_512GB/MK_TOUCHID_PAVNUM_US_IMAC/MM2_MT2_IMAC/FinalCut_Pro
267,FUJ4002548,FUJI,FUJI LTO  PLASTIC CASE
268,PDR0133-10000S,Netgear,DEF DRIVE RETENTION CAT3 3YRS
269,2.863-354.0,Kärcher,Kärcher Filtre plat à plis rénovation
270,773361-001,HP,Speaker Subwoofer Beats
271,A0TJ620200,Konica Minolta,Up/Down Wire /S
272,MWYQ2ZM/A,Apple,Apple Zubehör iPhone 11 Pro Hülle Clementine
273,5M.F72E3.DOE,BENQ,Warranty 4Y for RE8601
274,W126870805,Samsung,SVC-DRUM LIFTERMIDEA 
275,P000553870,Toshiba,DVD-SuperMulti DRI
276,43976401,OKI,"Plate-Door-Weld(Short), MC860"
277,FRU81Y4327,Lenovo,Heatsink
278,MBL-050051,Mobilis,RESIST Pack - Case for Lenovo Tab M10 FHD Plus 10.3i (2nd gen) (TB-X606) / Tab K10 (TB-X6C6)
279,OND.9PX2200IRTBP,Eaton,Onduleur Eaton 9PX UPS HotSwap IEC 2200VA / 2200W
280,507182,Sennheiser,HD 200 PRO Closed Headphone
281,841882-001,HP,Pcba Mic Bd W Cable 3Dc
282,67021,Braun,"Braun BC 06 R-DCF Horloge murale, rouge"
283,W126881628,Lenovo,COVER Upper Case ASM_USA ENG 
284,88030,Delock,Delock Riser Karte PCI Express x8 St zu x8 Slot  6
285,4YA4053-1286G098,OKIDATA,KSHR-PCB [5320]
286,W127151246,HP,CBL FHD Backlight LG 870AIO G9
287,W126223548,Canon,"CUSHION, FAN"
288,06019K3302,Bosch,Bosch GSB 18V-45 perceuse-visseuse sans fil
289,P1046696-005,Zebra,Kit Convert 203 to 300dpi
290,F.01U.340.437,Bosch,FRONT BEZEL LOWER
291,32150- M0008,VERITAS,VERITAS Backup Exec Simple Add On - Renouvellement de la licence d'abonnement sur site (1 an) + Essential Support - 1 instance - entreprise - CLP - Win
292,875908394,Sony,IC TC7W74FU
293,KN.1280A.001,Acer,FLASH DISK.128GB.SSD.TOSHIBA
294,KF564C32BBA-32      ,KINGSTON            ,32GB DDR5 6400MT/S CL32 DIMM   
295,FWA-510-EU0102F     ,zyxel               ,ZYXEL FWA510 5G INDOOR LTE     
296,A1RJR71400,Konica Minolta,Gate Solenoid Pin Assy
297,HC3U3E,HEWLETT PACKARD ENTERPRISE,"HPE Foundation Care 4-Hour Exchange Service - Contrat de maintenance prolongé - remplacement - 3 années - expédition - 24x7 - temps de réponse : 4 h - pour P/N: Q9H54A, Q9H55A, Q9H56A, Q9H56AR, Q9H57A, Q9H57AR, Q9H58A, Q9H58AR"
298,RM1-9775,HPinc,CARTRIDGE LIFTER ASSY                   
299,1595293,Epson,Board Ma Assy As
300,JJRYC,Dell,SI CRD SOLAR SFN7002F JJRYC
301,SKP-ATC-YR-03,TRIMBLE,SketchUp - (1 an)
302,W126879740,Samsung,"TUNERDNSS24CVH161A,DVB-T/C+S2,"
303,C1E1TN9300GF-5Y,cisco,CISCO C1E1TN9300GF-5Y Cisco ACI Essentials Term N9300 GF 5Y factory
304,W126582978,PowerWalker,SA2-30 Cable for BP(H) S24T-6
305,W127297101,Ruckus,WatchDog NBD PARTS ONLY 
306,686039-501,HP,Mb Dis Qm77 W. Wwan W8Std
307,BA59-03201B,Samsung,"LCD Panel 10,1 Inch"
308,W125668743,Lenovo,Ratchet-1 
309,59682,Dell,ASSY BRKT FD F3 HTRP
310,684325-001,HPinc,SPS-MB DSC QM67 P CHNA/UKRN ALCOR UPGD  
311,W125953400,Lenovo,Mars 1.0 INTEL FRU MECH_ASM 
312,KTM0130-RFB,Kingston,8MB 70Ns SIMM
313,MSI-1030-4GHD4LPOC,MSI,VGA GeForce GT 1030 4GHD4 LP OC
314,SD-FG80-W5          ,NEWLAND             ,8IN TABLET 2.2GHZ 4GB/64GB 2D  
315,W125899543,Bachmann,Kabelschlange Easy-Clip floor 
316,SF/TM,Ventev,SMA F to TNC M Adapter
317,6AG00004454,Toshiba,Toner
318,MST-3YF-00219,Microsoft,Microsoft Office Mac Standard Software Assurance Open Value Level D 2 Years Acquired Year 2 AP
319,W128162404,Lenovo,COVER Upper Case 
320,MBXTWR-BA0167,CoreParts,Battery for Two Way Radio
321,097-0479-001,Hewlett Packard Enterprise,CONT IS5500 12GB 8FC NO
322,D0-06074000,Toshiba,Pk502H203H0
323,LM6753001,BROTHER,MP ROLLER HOLDER SP ASSY
324,FRU01AX391,Lenovo,Keyboard (SWISS)
325,2355652             ,LEXMARK             ,WARRANTY 1YR RENEW OS REPAIR   
326,FRU00NY314,Lenovo,HDD Bezel
327,W125639233,Lenovo,Preferred Pro II USB wh
328,SM-F956BAKBEEB,SAMSUNG,Samsung Galaxy Z Fold6 5G Noir 256Go EE
329,CFQ7TTC0HBSJ-0006-1J1M,Microsoft,CSP Dynamics 365 Sales Premium (Non-Profit Pricing) [1J1M] New Commerce
330,W128177669,HP,Top Cover Nsdc Ftl W Kb Ltl Fp
331,W126221403,Canon,"COVER, HEAD SIDE, VB-H43B"
332,W125633450,Lenovo,Keyboard BLACK ACNOR
333,MSC140H40-041G,CoreParts,"14,0"" LCD HD Glossy"
334,FRU93P5689,Lenovo,LCD 14.0inc HD+ LED
335,372659-001,HPent,"SPS-DRV,36G,U320,NHP,15K "
336,A1806495A,Sony,HMS3_B MOUNT
337,W127464941,Dell,Intel Ethernet X540 DP
338,W126855012,Samsung,JACK-EAR 
339,60Y5493-RFB,IBM,THERMAL MODULE/HEATSINK
340,W126582244,Lexmark,SVC Cover SFP left
