part,fournisseur,description,marque,prix,quantity
DS70S-950WH1,Siewert & Kau,Neomounts DS70S-950WH1 mounting kit - full-motion - for monitor - white,neomounts,163.78,20
H2ZT2E,macle,EPACK 1YR FC 4H EXCH 7005 CTR,hewlett packard enterprise,490.0,50
1.445-330.0,Difox,KÃ¤rcher PGS 4-18 Scie,kärcher,58.01,1
0-HDMI200ETHNYROTCAV,MGF,"C ble HDMI 1.4 M/M, fiche or 2 mètres , nylon tressé, Ehternet 1 c té 90 c fixe,",heden,4.92,104
404673-001-RFB,EET,Systemboard,hewlett packard enterprise,173.7,1
MT103ZM/A,techdata,Apple - Coque de protection pour téléphone portable - compatibilité avec MagSafe - silicone - noir - pour iPhone 15 Plus,apple,49.17,32
TL-SG1005P,PICATA,TL-SG1005P - 5 Ports Gigabit dont 4 PoE,tp-link,33.35,1
H8CQ1E,techdata,"HPE Foundation Care Next Business Day Exchange Service - Contrat de maintenance prolongé - remplacement - 4 années - expédition - 9x5 - temps de réponse : NBD - universitaire, pour les particuliers - pour P/N: JX957AR",hewlett packard enterprise,38.0,9876
TB4CDOCKUE          ,Ingram,THUNDERBOLT 4 DOCK 96W DUAL 4K ,startech            ,245.5,3
MZ-V9E1T0BW,Also,SAMSUNG SSD 990 EVO 1To M.2 NVMe PCIe,samsung,114.57,100
U3WZ9E,macle,EPACK 3YR NBD 66/88XX FIREWALL,hewlett packard enterprise,4596.0,50
CL-P039-AL12BL-A,PICATA,Contac Silent 12 CPU Cooler ,thermaltake,21.31,1
22450121            ,Ingram,RP-F10-K27J1-3 10819 BLK EU    ,seiko               ,176.96,22
OCM815B             ,Ingram,FIXATION PLAFOND UNIV. VP      ,optoma technology   ,64.52,9
ARKCWPK,Difox,AgfaPhoto Realikids Water Proof pink,agfaphoto,43.2,1
13450-20,Difox,Gardena SystÃ¨me goutte Ã  goutte kit potager/parterre 60mÂ²,gardena,39.56,10
CE742A              ,Ingram,TONER CARTRIDGE 307A YELLOW    ,hp inc.             ,254.41,7
CFQ7TTC0LF8S-0002-1J1J,terra computer,YY CSP Office 365 E5 [1J1J] New Commerce [EOS 01.10.23],microsoft,410.72,100
SMFIBLCLC1,techdata,StarTech.com 1m Fiber Optic Cable - Single-Mode Duplex 9/125 - LSZH - LC/LC - OS1 - LC to LC Fiber Patch Cable (SMFIBLCLC1) - Cordon de raccordement - mode unique LC (M) pour mode unique LC (M) - 1 m - fibre optique - duplex - 9 / 125 micromètres - OS1 - ,startech,19.99,6
CFQ7TTC0LHRR-000S-1M1M,terra computer,CSP Microsoft Defender for Cloud Apps (Education Student Pricing) [1M1M],microsoft,0.65,100
HR4Z0E,techdata,HPE Foundation Care Next Business Day Exchange Service - Contrat de maintenance prolongé - remplacement - 3 années - expédition - 9x5 - temps de réponse : NBD - pour P/N: JL661A,hewlett packard enterprise,540.0,9876
FW5L5_3PS5PSP       ,Ingram,3Y PROSPT TO 5Y PROSPT PLUS    ,dell emc            ,168.95,9999
MC-SFTP6A01G,EET,CAT6A S/FTP 1m Green LSZH,microconnect,1.5,2638
358348-B21,macle,HPE MEM 1GB DDR PC 2700 ECC DDR-333,hewlett packard enterprise,59.0,7
APTHP35AE,Supplies24,ORIGINAL Agfa Photo Toner Noir(e) APTHP35AE ~1500 Seiten Agfa Photo 35A (CB435A),apthp35ae,14.98,1
CON-ECMU-UPGADGF,Also,CISCO SWSS UPGRADES NX-OS Upgrade License Ess To Adv 1G Pl,cisco,160.86,100
228373-001,macle,228373-001 HP POWER SUPPLY FOR STORAGEWORKS 3U,hewlett packard enterprise,49.0,43
U41BCE,Also,HP 2 year Next Business Day Response Onsite Notebook Bundled Hardware Support,hp inc.,23.61,100
2078-AC60,macle,IBM HDD 600GB 10K  SAS 2.5'',ibm,59.0,50
1D0K9AA#ABB,Also,HP Creator 930 SLV WRLS Mouse,hp inc.,72.45,20
1102RV3NL0,techdata,"Kyocera ECOSYS P2235dn - Imprimante - Noir et blanc - Recto-verso - laser - A4/Legal - 1200 ppp - jusqu'à 35 ppm - capacité : 350 feuilles - USB 2.0, Gigabit LAN, hôte USB",kyocera,291.0,3
R18-06432,terra computer,MS SB Windows Server 2022 5 Device CAL [DE],microsoft,141.9,46
71P7435,macle,"IBM 2GB FC, 300GB/10K DRIVE",ibm,59.0,5
VEL-OW64736,Secomp,VELCRO One Wrap 20x330mm 100p. aqua VEL-OW64736,velcro,27.94,25
RZ03-03390100-R3M1,biuroABC,RAZER RZ03-03390100-R3M1,rz03-03390100-r3m1,72.0,41
006R04185           ,Ingram,EVERYDAY CYAN TONER FOR HP 415A,xerox               ,52.41,100
80C2XCE,Imcopex,Lexmark Cartridge 802XCE Cyan (80C2XCE),lexmark,50.0,1
H5XC4E,techdata,HPE Foundation Care Next Business Day Service - Contrat de maintenance prolongé - pièces et main d'oeuvre - 3 années - sur site - 9x5 - temps de réponse : NBD - pour P/N: JL357A#BB,hewlett packard enterprise,846.0,9876
01ER103,EET,Bezel,lenovo,77.7,4
632504-B21,macle,HPE SSD 400GB 6G SAS 2.5'' MLC,hewlett packard enterprise,468.0,1
3204884,Copaco,Reflect MacBook Sleeve 13i,case logic,21.81,18
PAC-D-10277,Difox,Arcade 1UP Pac-Man 5 Game Partycade,arcade,188.87,8
693714-001,macle,HPE SMART AC ADAPTER 230W,hewlett packard enterprise,99.0,4
R87100801,Also,HP Poly Service Reactivation Fee Studio P21 for product less than 1yr out of support coverage,hp inc.,14.52,100
1T02MT0NLV,Octant,KYOCERA Cartouche Toner TK-3110 Noir 15 500 pages,kyotk3110,96.72,11
L24678-001,EET,Back Cover Lcd Jtb Hd,hp,38.7,1
U2KN9PE,techdata,HPE Foundation Care 24x7 Service Post Warranty - Contrat de maintenance prolongé - pièces et main d'oeuvre - 1 année - sur site - 24x7 - temps de réponse : 4 h,hewlett packard enterprise,549.0,9876
819079-001,EET,4TB SAS Hard Drive,hewlett packard enterprise,248.4,27
1102S13NL0,techdata,"Kyocera ECOSYS M2635dn - Imprimante multifonctions - Noir et blanc - laser - A4 (210 x 297 mm), Legal (216 x 356 mm) (original) - A4/Legal (support) - jusqu'à 35 ppm (impression) - 350 feuilles - 33.6 Kbits/s - USB 2.0, Gigabit LAN, hôte USB",kyocera,632.0,2
W21,Kosatec,Foscam W21 Schwarz/Silber,foscam,11.99,95
11.04.5619,Secomp,"ROLINE Câble DP, DP-DVI (24+1), M/M,1,5m",roline,10.8,329
S26361-F4482-E514,macle,FUJITSU HDD 146GB 15K SAS 6G 2.5'',fujitsu,101.0,2
eco715,Difox,Woodcessories Clear Case MagSafe iPhone 15 Black,woodcessories,15.84,3
1115000,Difox,Nielsen Aura noir 20x20 bois incl. Passepartout 1115000,nielsen design,3.92,10
759208-B21,macle,HPE HDD 300GB 15K SAS 12G 2.5'' SC,hewlett packard enterprise,59.0,50
H3AS6E,macle,EPACK 4YR PCA 24X7 CDMR 7010,hewlett packard enterprise,17172.0,50
CON-SNT-W296X48F,Also,CISCO SMARTNET 8X5XNBD Catalyst 2960-XR 48 GigE PoE 740W 2 x 1,cisco,634.4,100
H1FR3E,macle,EPACK 5YR FC 24X7 MSR954,hewlett packard enterprise,616.0,50
708641-S21,convena,HPE Memory 16GB Dual Rank x4 PC3-14900R,hp enterprise,53.69,100
6593705,psaparts,0, ,0.0,7
H3EJ1E,macle,EPACK 5YR PCA CTR CDMR 7210 CT,hewlett packard enterprise,72883.0,50
CFQ7TTC0HM0T-0007-1J1M,terra computer,CSP Dynamics 365 e-Commerce Tier 1 Band 3 [1J1M] New Commerce,microsoft,2702.0,100
QSFP-40G-LR4-S=,techdata,Cisco S-Class - Mode de transmetteur QSFP+ - 40GbE - 40GBase-LR4 - mode unique LC - jusqu'à 10 km - 1271 nm / 1291 nm / 1311 nm / 1331 nm,cisco,11999.88,15
XUB2493HSU-B6,Tarox,Iiyama 24 XUB2493HSU-B6 HDMI DP USB,iiyama,0.0,16
90PF02V1-M00W60,MCA,UC ASUS SFF 15L D700MCES-310105011R i3-10105/8Go/256Go/Win10Pro Intel UHD/WiFi+BT Garantie 2 ans.,asus,490.0,5
21391193            ,Ingram,NORTON SECUR PREM 25GB SE 1USER,symantec            ,17.2,9999
U0405E,Also,HP 3y Active Care NBD ONS ProTrc HW Supp,hp inc.,138.3,100
CMW16GX4M2K4000C19,ecp,Multimedia/07- RAM Gamer/DIMM Gamer/DDR4 Gamer,corsair,110.14,1
TEG-S24g,Secomp,TRENDNET SWITCH GREENET 24xRJ45 GIGABIT,trendnet,96.14,4
13934,Difox,Schleich Vie Ã  la ferme    13934 Porcelet,schleich,3.18,4
81700571100,Difox,Alpen SDS+ F4 Box 3 tlg. 6-7-10x 160,alpen-maykestag,6.41,20
CP04OSSWH961,Also,EPSON 4 years CoverPlus with on-site-service for EH-TW7000,epson,187.94,100
90P1381-RFB,EET,73GB 15K U320 SCSI HS HDD,ibm,85.2,1
96Z10ET#ABH-NOB,Travion,EliteBook 1040 G10 - 14 inch - Intel Core i7-1355U - 16GB RAM - 512GB SSD - Windows 11 Pro [ NEW DAMAGED BOX ],hp inc.,1.0,1
DN-19 42U-6/10-1,Siewert & Kau,Digitus Unique DN-19 42U-6/10-1 - rack - 42U,digitus,784.05,3
CFQ7TTC0LFNW:0002:COM:P1Y:M:DE,Tarox,Windows 10/11 Enterprise E5,microsoft csp,0.0,50
42f7351,macle,IBM SCSI HIGH PERF. EXT I/O CONTR.,ibm,59.0,3
PFI-320m,Supplies24,ORIGINAL Canon Cartouche d'encre Magenta PFI-320m 2892C001 300ml,pfi-320m,99.68,1
H3MU8PE,macle,EPACK 1YR REN FC NBD EC AP-205,hewlett packard enterprise,48.0,50
90NX06D1-M00710     ,Ingram,EXPERTBOOK FLIP R14            ,asus                ,372.4,176
21.15.2604,Secomp,"Cordon ROLINE S/FTP(PiMF) Cat6/CompLv, LSOH, gris, 1,5m",roline,2.9,419
16.99.4133,Secomp,VALUE Boîtier SSD NVME USB C 3.2 Gen2x2,value,38.5,198
Q3931-67941,EET,Fixing Assembly Kit,hp,247.8,8
VCNT400-PB,PICATA,T400 - T400/2Go/mDP/LowProfile,pny,114.72,4
G9VN6,EET,"DVD+/-RW,8X,9.5,SATA,TRAY,TSST",dell,22.8,7
7B86-016R,Siewert & Kau,MSI Mainboard B450 GAMING PLUS MAX - ATX - Socket AM4 - AMD B450,msi,69.09,143
ALTVTABACTPRO       ,Ingram,PROTECTION EN VERRE TREMPE POUR,akashi              ,12.5,1
H5XM9E,techdata,HPE Foundation Care Next Business Day Service - Contrat de maintenance prolongé - pièces et main d'oeuvre - 1 année - sur site - 9x5 - temps de réponse : NBD - pour P/N: JL356A#BB,hewlett packard enterprise,197.0,9876
UACC-DAC-SFP28-3M,MCA,Ubiquiti - UACC-DAC-SFP28-3M 25 Gbps Direct Attach Cable - 3m.,ubiquiti,34.5,42
C13T05H24010,Supplies24,"ORIGINAL Epson Cartouche d'encre Cyan C13T05H24010 405 XL ~1100 Seiten 14,7ml",c13t05h24010,22.17,1
R6U83AAE,techdata,HPE Aruba Central On-Premises Foundation - Licence d'abonnement (1 an) - 1 switch - ESD,aruba,515.0,9876
EZ 7407,Difox,Severin EZ 7407 SorbetiÃ¨re & machine Ã  yaourt,severin,164.96,20
90IG0610-MO0R00,Kosatec,ASUS PCE-AX58BT - WLAN / Bluetooth - 2402 Mbit/s,asus,44.06,6
TD110DSMJ,Difox,Makita TD110DSMJ visseuse sans fil Ã  percussion,makita,147.55,10
JD-718,Difox,Carson JD-718 miniscout     7x18,carson optical,25.91,1
7313552,Difox,Intenso Powerbank XS20000 blanc 20000 mAh incl. USB-A to Type-C,intenso,20.36,10
MRHW3QF/A,techdata,"Apple Watch Series 9 (GPS + Cellular) - 41 mm - aluminium argenté - montre intelligente avec bande sport - fluoroélastomère - bleu orage - taille du bracelet : M/L - 64 Go - Wi-Fi, LTE, UWB, Bluetooth - 4G - 32.1 g",apple,474.17,11
TS-432PXU-2G,Acadia,QNAP TS-432PXU-2G Serveur NAS 4 Baies,qnap,546.29,2
2P-HSTNN-DB7W,psaparts,62, ,2.0,32
884F8EA#ABF,MGF,HP Pro 290 G9R Intel Core i5-13400 16GO 512GO SSD Intel UHD Graphics 730 WIN11PR,hp pro ,620.98,39
00184159,Tarox,HAMA Bluetooth-Kopfhörer Passion Voyage,hama,0.0,12
C13S020693,MGF,EPSON ENCRE NOIR PJIC7,epson,37.92,69
ZD4A042-D0EE00EZ,convena,Zebra ZD421d Label Printer,zebra,250.35,1
001361,techdata,Mobilis - Adaptateur secteur - rapide - 20 Watt - PD/PPS (24 pin USB-C) - noir - Europe,mobilis,12.49,34
MD155S,Difox,"Walther PimpÂ´n Create Cordon ph. 6 aimants bois,150cm,naturMD155S",walther,9.03,10
01ET956,macle,WARRANTY 4YR TECH INSTALL,lenovo,3215.0,50
910-005283,PICATA,G305 LightSpeed,logitech,35.06,7
7106-2,Secomp,"GUDE 71062 Sensor Temperatur, Feuchte, Luftdruck, kalibriert",gude,183.16,1
C13T913100,techdata,"Epson T9131 - 200 ml - photo noire - original - cartouche d'encre - pour SureColor SC-P5000, SC-P5000 STD Spectro, SC-P5000 Violet, SC-P5000 Violet Spectro",epson,85.32,24
5M30V06805,EET,"SODIMM,8GB, DDR4, 3200 ,Micron",lenovo,106.2,59
SM-X610NZAEEUB,PCA,Samsung Galaxy Tab S9FE+ 12.4'' WIFI 256Go Anthracite RAM 12Go Android 13 2560 1,samsung,613.42,18
418951-001,macle,HPE MEM 1GB PC2-6400 DDR2-SDRAM,hewlett packard enterprise,59.0,37
FRU01AG877,EET,"SODIMM,16GBDDR43200 ,MICRO",lenovo,196.5,64
SV.WCMAP.A03,PCA,EDG 3 ans SUR SITE (J+1 ouvré) pour Chromebox/Veriton EXxxx /2xxx/4xxx/6xxx/8xxx,acer,31.0,26
B3P23A,Octant,HP Cartouche Encre 727 Noir photo 130ml,hpb3p23a,66.1,8
BNS15UF,techdata,"Urban Factory - Housse d'ordinateur portable - jusqu'à 15,6"" - noir",urban factory,9.16,330
6402B009,PICATA,Pack Cartouches PGI-72 MBK/C/M/Y/R - 6402B009 ,canon,53.23,1
11.44.9010,Secomp,"ROLINE GREEN USB3.2 Gen1 Câble A/C 0,5m M/M LSOH NOIR",roline green,4.9,763
1001182,techdata,"EPOS EXPAND Vision 3T Bundle - Bar de vidéoconférence (haut-parleur de téléphone, barre vidéo, tablette) - Certifié pour Microsoft Teams - noir",epos,2399.0,3
H41S2E,techdata,"HPE Foundation Care Software Support 24x7 - Support technique - support téléphonique - 5 années - 24x7 - temps de réponse : 2 h - pour P/N: JL375A, JL375AR, JL376A, JL376AR",hewlett packard enterprise,17278.0,9876
MCRSTDEXW,techdata,Compulocks Borne Tablette Mobile et bras articulé VESA - Blanc - Chariot - pour Écran LCD - médical - blanc - Taille d'écran : jusqu'à 15 pouces - pour Compulocks Borne Tablette Mobile et bras articulé VESA - Blanc,compulocks,643.79,4
6387B001,West Cost,CANON ENCRE CLI-42 J,canon supplies,11.0,90
TS64GSDXC10U1,Difox,Transcend SDXC 64GB Class 10 UHS-I 600x Ultimate,transcend,29.53,7
HQ0X3E,techdata,"HPE Foundation Care 24x7 Service - Contrat de maintenance prolongé - pièces et main d'oeuvre - 3 années - sur site - 24x7 - temps de réponse : 4 h - pour P/N: JL253-61001, JL253A#ABA, JL253A#ABB, JL253A#AC3, JL253A#B2B, JL253AR, JL253AR#ABB",hewlett packard enterprise,476.0,9876
HL7W6E,techdata,"HPE Foundation Care 24x7 Service - Contrat de maintenance prolongé - pièces et main d'oeuvre - 4 années - sur site - 24x7 - temps de réponse : 4 h - pour P/N: JL665A, JL665AR",hewlett packard enterprise,869.0,9876
02-SSC-6537,techdata,"SonicWall Advanced Protection Service Suite - Licence d'abonnement (3 ans) + 24x7 Support - pour P/N: 02-SSC-6824, 02-SSC-6826, 02-SSC-6828, 02-SSC-6830, 02-SSC-7289, 02-SSC-8058",sonicwall,2272.9,9876
DS70-750BL2,convena,Neomounts by Newstar monitor desk mount,neomounts by newstar,104.18,4
EO-IC100BWEGEU,techdata,Samsung EO-IC100 - Écouteurs avec micro - intra-auriculaire - filaire - USB-C,samsung,29.9,84
PRSBBTZE431,Supplies24,ORIGINAL Prindo Ruban Noir sur rouge PRSBBTZE431,prsbbtze431,6.89,1
MC-SSDSATACONV,EET,"2.5"" SATA to M.2 mSATA Adapter",microconnect,10.5,21
U9X62E,macle,EPACK5Y4H CDMR5920AF-24XG ROA,hewlett packard enterprise,16611.0,50
H4DL9PE,macle,EPACK 1YR REN PC NBD EXCH IAP,hewlett packard enterprise,137.0,50
02HM065,convena,Lenovo Cover D CoverBLKPC+ABSWINtouch,lenovo,61.22,5
00HM613,EET,"45W,20VDC,3P,WW,LTN",lenovo,37.2,31
JG754AAE,macle,HP IMC EAD SW MOD W/ 50-USER,hewlett packard enterprise,2388.0,50
800059-412          ,Ingram,CARD PVC 30 MIL UHF M4QT       ,zebra               ,97.68,1
BPGT70MA,argor trading,Sharp BPGT70MA,sharp bpgt70ma,110.09,20
SG-EC5X-SCRNPT1-01  ,Ingram,EC50/EC55 SCREEN PROTECTOR     ,zebra               ,25.09,26
H79H3E              ,Ingram,HPE 3Y TC ESS DL385 GEN11 SVC  ,hpe                 ,4299.74,9999
C9200-24PXG-A       ,Ingram,CATALYST 9200 24-PORT 8XMGIG   ,cisco               ,3708.66,3
CFQ7TTC0LH16-0001-1J1M,terra computer,CSP Exchange Online (Plan 1) [1J1M] New Commerce,microsoft,3.05,100
DG7GMGF0F4LF.0003,Kosatec,CSP Cloud Project Server 2019 D-CAL NP - perpetual,microsoft,75.35,100
"442603,700",Secomp,Cordon saCon Cat.6 S/FTP 7m jaune,sacon,10.89,2
ASSO-B-ESA-L2-AD,Also,ESET Association Secure Authentication New 2 years 50-99p,eset,27.6,100
ACH226EU            ,Ingram,TARGUS USB-C 4 PORT HUB AL CASE,targus              ,26.66,4
C13T11D240,Kosatec,TIN Epson Tinte WF-C53xx/WF-C58xx XL C13T11D240 Cyan bis zu 5.000 Seiten,epson,66.21,22
801513-001,EET,DC-IN POWER CONNECTOR,hp,56.4,1
TN241M,Siewert & Kau,Brother TN241M - magenta - original - toner cartridge,brother,51.83,25
MBXDE-BA0077,EET,Laptop Battery for Dell,coreparts,36.6,21
HB30C3A1GEA2,Siewert & Kau,"StarTech.com 3-Port USB-C Hub with Ethernet, 3x USB-A Ports, Gigabit Ethernet, USB 3.0 5Gbps, Bus-Powered, USB Type-C Hub w/ GbE and 1ft/30cm Long Cable, Portable USB-C to USB-A Laptop Hub - USB Expansion Hub (HB30C3A1GEA2) - hub - 3 ports",startech,39.1,11
U7897E,techdata,"Electronic HP Care Pack Next Business Day Hardware Support - Contrat de maintenance prolongé - pièces et main d'oeuvre (pour ordinateur de bureau sans moniteur) - 4 années - sur site - temps de réponse : NBD - pour HP Mini Conference G9, Elite 805 G8, Eng",hp,34.0,9876
TEG-MGBS10,Secomp,TRENDNET SFP MONOMODE LC LX 10KM,trendnet,19.27,9
MBXDE-DC0001,EET,Car Adapter for Dell,coreparts,25.8,50
UM132E,Copaco,HP electronic care pack 2y nbd exch consumer color LJ - E Svc Consumer Color LaserJet2y Exchange SVCConsumer only. ships replacement next bus d 8am-5pmStd bus d,hp printing & computing,34.92,178
P40504-B21,macle,HPE SSD 1.92TB SATA 6Gb/s 2.5'' MU BC,hewlett packard enterprise,520.0,1
HDMI35MM,EET,"HDMI 1.3 cable, High speed",neomounts by newstar,18.8,12
U6-PRO,terra computer,Ubiquiti Access-Point UniFi U6-Pro 802.11ax (ohne PoE-Adapter) Ohne/without PoE Adapter,ubiquiti networks,135.2,100
9549B002,Imcopex,Canon Waste Toner Bottle WT-A3 WTA3 (9549B002),canon,17.0,14
005049496,macle,EMC HDD 2TB 7.2K SAS1 300MB/s 3.5'',emc,22.0,50
JC91-00969A,eparts,FUSER 220V,hpinc,127.4,3
106R02306,Topus,095205623062,xerox supplies,107.0,27
MSPP73363,EET,Apple iPhone 6S Space Grey SIM,coreparts,2.4,1
C-ESSP-MUL-L1-AE,Also,ESET Smart Security Premium New 1 year 5p Nominative license,eset,42.02,100
TE10518UWI-B1AG,Copaco,LFD 105iW LCD IR 40-Points PureTouch 5K,iiyama,6717.32,1
5PS0V07097,techdata,"Lenovo Keep Your Drive Add On - Contrat de maintenance prolongé - 3 années - pour ThinkPad P1, P1 (2nd Gen), P1 Gen 4, P16 Gen 1, P17 Gen 1, P43, P51, P52, P53, P72, P73",lenovo,43.0,9876
HDMI2.0V-002,convena,ProXtend HDMI 2.0 Cable 2M,proxtend,1.53,100
9967B002,Difox,Canon LP-E17,canon,35.6,20
TE7512MIS-B1AG      ,Ingram,TE7512MIS-B1AG 74.5IN PTOUCH-IR,iiyama              ,1396.54,1
PFI-300pm,Supplies24,ORIGINAL Canon Cartouche d'encre Magenta PFI-300pm 4198C001 14ml,pfi-300pm,13.76,1
FRU01YP297,EET,FLCHYKB-BLBKIT,lenovo,83.7,11
910-006180,Also,LOGITECH G502 X LIGHTSPEED - BLACK/CORE - EER2,logitech,108.33,1
2P-LP116WH8-SPC1,psaparts,0, ,2.0,55
4GD73ZD/A-AS,flexit,"iPhone 12 Pro Max 128GB 6.7"" Graphite No Accessories",apple,459.0,15
PK-5018M,Supplies24,ORIGINAL Utax Toner Magenta PK-5018M 1T02TWBUT0 ~11000 Seiten,pk-5018m,172.01,1
01HD153,macle,4Y TECH INSTALL PT NBD+YDYD,lenovo,321.0,50
CZTNAU24AANCAA,Tarox,Central Zero Trust Network 1-9U 24M,sophos,0.0,50
16702,Difox,walimex Pro table prise de vue kit Pro Daylight,walimex,445.78,1
5N20N88605,EET,Keyboard (SPANISH),lenovo,142.8,1
27UP85NP-W.AEU,Copaco,27UP85NP-W.AEU,lg electronics,218.32,160
U8NJ6E,techdata,HPE Foundation Care Next Business Day Service - Contrat de maintenance prolongé - pièces et main d'oeuvre - 5 années - sur site - 9x5 - temps de réponse : NBD,hewlett packard enterprise,5311.0,9876
917463-001,macle,HPE CABLE Dp-Dp1.2 1.8M,hewlett packard enterprise,39.0,50
X710DA2BLK-C,Siewert & Kau,Adap OEM PCIe 3.0 OEM X710DA2FHBLK-c bulk,oem,116.63,3
W73H,ecp,Reseaux/Téléphonie/Téléphone IP - SmartPhone,yealink,69.9,1
071-000-537,macle,EMC 071-000-537 575W AC PSU FOR VNXE3100 / V2-DAE-1,emc,46.0,1
VM1A-L0N-1B4A20E    ,Ingram,VM1A INDOOR CAP ANDR ML GMS BT ,honeywell           ,2261.21,3
5411A,ecp,Integration/6- Stockage/5- MEMOIRE FLASH/Lecture de carte,generique,1.05,1
02-SSC-7367,Copaco,SONICWALL NSa 2700 HIGH AVAILABILITY,sonicwall,1788.16,1
CIXA0S24BDNCAA,Tarox,Central Intercept X Advanced Server 50-99S 24M,sophos,0.0,50
5WS7A26086,Also,LENOVO DCG e-Pac Foundation Service - 4Yr Next Business Day Response,lenovo,102.6,100
2P-WTS:6C.CSDAD.003,psaparts,30, ,2.0,24
63A9GAT1EU,Tarox,Lenovo 27 ThinkVision T27p-30 LED-Monitor,lenovo,0.0,37
DELL-WD19DCS        ,Ingram,DELL PERFORMANCE DOCK          ,dell emc            ,210.24,21
1T02NR0NL0,Kosatec,TON Kyocera Toner TK-5140K Schwarz bis zu 7.000 Seiten gem. ISO/IEC 19798,kyocera,76.93,5
TD1630-3,Acadia,Viewsonic TD1630-3,viewsonic,215.8,16
CM-CAB-CKIT-N88KW-R,PICATA,Kit câbles tressés (White) CM-CAB-CKIT-N88KW-R,cablemod,24.66,5
H3AT8E,macle,EPACK 5YR FC NBD WCDMR 7010 CT,hewlett packard enterprise,4586.0,50
H1LZ5E,macle,EPACK3YR FC CTR CDMRARU2920 48,hewlett packard enterprise,2538.0,50
EF-UX910CTEGWW,Copaco,SAM Tab S9 Ultra Anti-Reflect Scr Protector,outlet,15.53,1
2P-492-BBX,psaparts,0, ,2.0,22
SAC/LENM10PLUS3G,PCA,Etui WE pour tablette LENOVO Smart Tab M10 FHD Plus (3e Gén.) 10.6 2022 - Noir ,we,9.9,2149
960-001227,PICATA,Rally Conference Camera,logitech,944.03,1
A380 CLI 6GO,ecp,Integration/7- Carte graphique/3- CARTE GRAPHIQUE INTEL,asrock,129.9,1
52120,Difox,Leifheit Clean Twist M Ergo,leifheit,31.29,30
ALEG-710-1TCS,Difox,ADATA SSD LEGEND 710         1TB M.2 PCIe Gen.3x4 R/W 2400/1800,adata,53.49,100
J7934-61012-RFB,EET,HP JetDirect 620N,hewlett packard enterprise,51.0,9
TK-8705Y,Arles,KYOCERA-MITA Toner (TK8705Y) (PUx6),kyocera mita,89.0,5
5WS1C03233,techdata,Lenovo Premium Care with Depot Support - Contrat de maintenance prolongé - pièces et main d'oeuvre (pour système avec 2 ans de garantie sur le transport ou le transport par coursier) - 4 années,lenovo,204.0,9876
U3MQ8E,macle,EPACK 5YR NBD EXCH 51XX SWTC F,hewlett packard enterprise,685.0,50
006R04637,Topus,095205038118,xerox supplies,433.0,1
FIB441001,EET,LC/UPC-LC/UPC 1m OS2,microconnect,3.9,186
CT1000BX500SSD1,Acadia,"CRUCIAL BX500 1T 2.5"" SATA 3D NAND",crucial,49.5,100
DT.VWVEG.002,Siewert & Kau,Acer Veriton M6 VM6690G - Midi - Intel Core i5-12500,acer,1023.96,4
PWR-4430-AC=        ,Ingram,AC POWER SUPPLY FOR CISCO      ,cisco               ,688.53,7
9705B003,Kosatec,Canon imageFORMULA P-215II mobiler Dokumentenscanner 15S./Min./Duplex,canon,225.42,3
0302B1,West Cost,SWP ATTELLE EPAULE CLASSIQUE NR S-M,swedish posture,18.0,57
